full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter
422328 (2014 SB208),3.0054072489217316,0.2663023747758372,5.497509603461712,161.3121393614191,258.5686568911681,2.205060161365358,3.805754336478103,5.21030559892276,7225.0,0,238,,,16.5,2.805
  7687 Matthias (2099 P-L),2.270334351153553,0.1152126971129448,5.776799093053378,199.1209583383496,333.0741151968156,2.008763007208984,2.5319056950981214,3.4209201146660697,24316.0,0,2081,,,14.3,3.488
166520 (2002 QY76),2.7083233059651413,0.08068088994764354,6.846623815739012,202.090017434569,107.3903032753226,2.489813371373929,2.926833240556352,4.45716757804846,8931.0,0,330,,,16.1,3.1830000000000003
       (2010 GP58),2.8906813287801434,0.1225260923849664,17.86336989479332,338.8733395221568,123.22257673200691,2.536497441234531,3.244865216325758,4.914830313407309,1.0,9,18,,,,2.845
 12866 Yanamadala (1998 KL65),2.414634381768506,0.1863439649288468,2.9201939860837887,44.67750673654204,228.3253015863029,1.964681837216248,2.8645869263207637,3.75219389584343,8925.0,0,1736,,,14.8,2.645
195713 (2002 PO49),3.089167476942451,0.1142517817372171,16.03412489560519,315.4349712992523,10.58212863170007,2.7362245886171133,3.442110365267789,5.429631842026991,6380.0,0,493,,,14.9,6.184
335185 (2005 CD4),2.7616233106824,0.2572854105710406,33.88612558225547,328.55585592774463,122.8736055993197,2.051097923350922,3.472148698013878,4.58938891272161,7039.0,0,169,,,15.8,2.608
 91400 (1999 MW),2.5497381602959592,0.2113421330568687,11.152598781497572,266.7487748736665,125.0378704574868,2.0108710587625147,3.088605261829403,4.07147317695141,7722.0,0,702,,,14.6,3.5189999999999997
 47548 (2000 AO124),2.619293844977042,0.1880597551460368,4.122869252318875,150.81183297199792,299.12020742926984,2.126710085835139,3.111877604118946,4.23920614325603,15393.0,0,819,,,15.1,5.518
  3828 Hoshino (1986 WC),3.168829131397246,0.03766085549875123,6.186672725679058,222.00900009792252,272.9477663842628,3.049488315379462,3.288169947415031,5.641004356940219,25141.0,0,2595,,,11.6,19.067999999999998
 90121 (2002 XO72),2.398068699712474,0.1752640122812019,8.960689465617088,68.36245654429085,250.8599480248193,1.977773557674901,2.8183638417500485,3.71364711583928,7936.0,0,666,,,15.5,4.781000000000001
       (2010 FC44),2.931545030219549,0.2348316763413645,8.29975657557653,2.749499898976351,49.85500280855639,2.243125396502896,3.619964663936202,5.01941445055043,3592.0,0,51,,,17.0,2.542
 50115 (2000 AU117),2.2847906233740107,0.1164066389874596,4.1442102608365765,167.04605459543092,288.9673435949059,2.01882582611698,2.550755420631043,3.4536459504868198,8767.0,0,650,,,16.0,1.601
 52125 (4274 P-L),2.299015371383976,0.07448949275485135,2.147935026715199,280.3441356899556,248.61160111091831,2.127762882533978,2.470267860233975,3.48594888559659,21602.0,0,621,,,16.0,3.5860000000000003
